                                                         Subnet 3: templar                                                          
                                                           Network: test                                                            
                                                                                                                                    
 UID ┃ Stake (γ) ┃ Alpha (γ) ┃   Tao (τ) ┃ Dividends ┃ Incentive ┃ Emissions (γ) ┃ Hotkey ┃ Coldkey ┃ Identity                      
 201 │    0.00 γ │    0.00 γ │    τ 0.01 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FRpmX │ 5G9atP  │ ~                             
 230 │    0.00 γ │    0.00 γ │    τ 0.01 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DoSVK │ 5EZ1bv  │ ~                             
 101 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HQvDh │ 5HRGiH  │ ~                             
 91  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CvssG │ 5Gs6BC  │ ~                             
 187 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EwAef │ 5F6cMj  │ ~                             
 179 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5G6coS │ 5EUWyy  │ ~                             
 102 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Hbthk │ 5F9TUH  │ ~                             
 255 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EHVCZ │ 5CXDkk  │ ~                             
 145 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CChqs │ 5HR9Bs  │ ~                             
 243 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GRDL6 │ 5ED8N3  │ ~                             
 223 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GL4QZ │ 5ED8N3  │ ~                             
 175 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F9wBb │ 5GEs7r  │ Owner99                       
 251 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Cyxvi │ 5Hj9CS  │ ~                             
 217 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CV1pA │ 5Gmq27  │ ~                             
 51  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FsjZq │ 5EsoW9  │ ~                             
 52  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Fxy4H │ 5EsoW9  │ ~                             
  8  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CtaFa │ 5H13H4  │ merit                         
  1  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DhDjE │ 5CLruR  │ ~                             
  2  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5ChfQE │ 5DV8cn  │ ~                             
  3  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HDuEc │ 5EtULx  │ ~                             
  4  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GUGqu │ 5EtULx  │ ~                             
  5  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CB32a │ 5EtULx  │ ~                             
 13  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EqNMg │ 5FbMj1  │ ~                             
 15  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Eeq15 │ 5H3qhP  │ ~                             
 16  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EtM8c │ 5CSEj2  │ ~                             
 17  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Cvdge │ 5Doabv  │ ~                             
 21  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Ey4gs │ 5FvEk4  │ ~                             
 22  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5ExkEK │ 5GcAdh  │ ~                             
 24  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Dssnq │ 5H5oTo  │ ~                             
 26  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F4wxf │ 5GgSXe  │ ~                             
 28  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Coh8c │ 5Ec4Y4  │ ~                             
 29  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EeQJS │ 5ED8Gj  │ ~                             
 30  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EUCAL │ 5G6Ch6  │ ~                             
 32  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FLj2L │ 5CiQtZ  │ ~                             
 35  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GTpXG │ 5GEXtU  │ ~                             
 36  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DfC1m │ 5EWqtz  │ ~                             
 37  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EAHDq │ 5FJ6pa  │ ~                             
 38  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5ECAHp │ 5FJ6pa  │ ~                             
 39  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GKzDi │ 5FJ6pa  │ ~                             
 40  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EequN │ 5FJ6pa  │ ~                             
 41  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GTYSM │ 5FJ6pa  │ ~                             
 42  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GZTHC │ 5FJ6pa  │ ~                             
 43  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DVCTw │ 5Ggp73  │ ~                             
 44  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EqadT │ 5Gedav  │ ~                             
 45  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HB8Pf │ 5Gedav  │ ~                             
 46  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CA6V6 │ 5Ggp73  │ ~                             
 47  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DHqG9 │ 5Djv8s  │ ~                             
 48  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DsqUd │ 5Gbn7H  │ ~                             
 53  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5C8S1p │ 5Ff9GG  │ ~                             
 54  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5E2WC9 │ 5Df6rp  │ ~                             
 55  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5D9tiJ │ 5GRdNB  │ ~                             
 56  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Fk1v3 │ 5EPjWG  │ ~                             
 57  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FnhLe │ 5DNz2e  │ ~                             
 58  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HYH3K │ 5Gsrsh  │ ~                             
 59  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Hpqf1 │ 5EspdP  │ ~                             
 60  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FrzUc │ 5FpyxU  │ ~                             
 61  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GBpEA │ 5HNovG  │ ~                             
 62  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CUwTp │ 5EFi8D  │ ~                             
 64  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CYDpY │ 5HYa7o  │ ~                             
 65  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5H49uf │ 5EcXxs  │ ~                             
 66  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GGekb │ 5CuCGd  │ ~                             
 67  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CrF11 │ 5FyUVo  │ ~                             
 68  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GYsSs │ 5E9XiF  │ ~                             
 69  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FW4cF │ 5DceTT  │ ~                             
 70  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CFWKN │ 5DrGBL  │ ~                             
 71  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HC6bE │ 5DS3NX  │ ~                             
 72  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EJUHX │ 5D2mfL  │ ~                             
 73  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5H91pZ │ 5HDhT3  │ ~                             
 74  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CZzLx │ 5CwHCu  │ ~                             
 75  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F4jN7 │ 5GRQz3  │ ~                             
 76  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CMXFh │ 5Higcc  │ ~                             
 77  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Co9T8 │ 5GL26T  │ ~                             
 78  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CShR4 │ 5Hgdwe  │ ~                             
 79  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GCcqx │ 5Fc58B  │ ~                             
 80  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5D5eF2 │ 5CLadE  │ ~                             
 81  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CnmLd │ 5Cm87F  │ ~                             
 82  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5G6dCB │ 5FjC8v  │ ~                             
 83  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GjhR1 │ 5F9rAd  │ ~                             
 84  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5E2d6T │ 5DoQev  │ ~                             
 85  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CDHwK │ 5Ek4ir  │ ~                             
 86  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GGe6E │ 5ED7Hd  │ ~                             
 87  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GsBxB │ 5Eqh8Z  │ ~                             
 88  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HmyLq │ 5FTbvc  │ ~                             
 89  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HBXMJ │ 5Ct6ic  │ ~                             
 90  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DSPh5 │ 5Chz5t  │ ~                             
 92  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Feo7t │ 5G6Nsq  │ ~                             
 93  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HpArp │ 5Gdffe  │ ~                             
 94  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Hixq6 │ 5EUbPn  │ ~                             
 95  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5D9zhQ │ 5EnvKd  │ ~                             
 96  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Dtozx │ 5Dtczk  │ ~                             
 97  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DfKqY │ 5FRSq3  │ ~                             
 98  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FKu8A │ 5CrNqx  │ ~                             
 99  │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FFZjn │ 5GETop  │ ~                             
 100 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Cd2Az │ 5G1fke  │ ~                             
 103 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FsBbv │ 5H1LKf  │ ~                             
 104 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FxcYD │ 5Fs88e  │ ~                             
 106 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DUW4n │ 5FRGnf  │ ~                             
 107 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DSgaK │ 5Hmohu  │ ~                             
 108 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GF1KC │ 5HYPqA  │ ~                             
 109 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CkK6g │ 5HYPqA  │ ~                             
 110 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HgCVo │ 5HKZZQ  │ ~                             
 111 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CtSFi │ 5Hmohu  │ ~                             
 112 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5D7HXS │ 5Hmohu  │ ~                             
 113 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HC6tK │ 5Hmohu  │ ~                             
 114 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F1huc │ 5Hmohu  │ ~                             
 116 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CXavq │ 5CkfAm  │ ~                             
 117 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CMV7V │ 5FxvFs  │ ~                             
 119 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5ECVFv │ 5EAQTK  │ ~                             
 120 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GbeSe │ 5HYPqA  │ ~                             
 121 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Fzy8W │ 5E7uws  │ ~                             
 122 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GuvM2 │ 5HYPqA  │ ~                             
 123 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DeuCx │ 5HTbyC  │ ~                             
 124 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DLe2T │ 5Fvg3X  │ ~                             
 125 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DX7xX │ 5HTbyC  │ ~                             
 126 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Fh5ED │ 5HTbyC  │ ~                             
 127 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EUwPT │ 5GRGBf  │ ~                             
 128 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HokmH │ 5HTbyC  │ ~                             
